City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Srednekolymsk,RU,43.86,clear sky,67.45,153.6833,
6,Punta Arenas,CL,41.11,moderate rain,-53.15,-70.9167,Hotel Hain
21,Ushuaia,AR,44.26,broken clouds,-54.8,-68.3,Albatross Hotel
24,New Norfolk,AU,44.1,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
28,Paamiut,GL,41.49,scattered clouds,61.994,-49.6678,Pistut
38,Barrow,US,33.06,overcast clouds,71.2906,-156.7887,King Eider Inn
48,Dunedin,NZ,43.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
56,Qaanaaq,GL,38.68,few clouds,77.484,-69.3632,Qaanaaq Hotel
65,Longyearbyen,SJ,42.64,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
70,Mount Gambier,AU,42.26,few clouds,-37.8333,140.7667,The Commodore
88,Hobart,AU,44.46,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
92,Ancud,CL,44.87,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
116,Nanortalik,GL,44.76,few clouds,60.1432,-45.2371,Hotel Kap Farvel
127,Port Macquarie,AU,44.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
136,Launceston,AU,40.15,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
140,Upernavik,GL,41.56,overcast clouds,72.7868,-56.1549,Café de Upernavik
161,Dikson,RU,43.86,overcast clouds,73.5069,80.5464,
166,Pevek,RU,39.85,overcast clouds,69.7008,170.3133,Severnoye Zoloto
174,Tasiilaq,GL,42.96,overcast clouds,65.6145,-37.6368,The Red House
185,Aklavik,CA,41.81,overcast clouds,68.2191,-135.0107,Aklavik Inn
240,Coihaique,CL,42.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
252,Rawson,AR,43.5,clear sky,-43.3002,-65.1023,Hosteria Sampedro
258,Lakes Entrance,AU,42.17,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
273,Lavrentiya,RU,42.04,overcast clouds,65.5833,-171.0,
283,Sisimiut,GL,43.65,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
289,Tuatapere,NZ,43.16,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
292,Kaitangata,NZ,43.83,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
299,Qaqortoq,GL,44.82,few clouds,60.7167,-46.0333,Siniffik Inn
311,Christchurch,NZ,44.91,overcast clouds,-43.5333,172.6333,The George
356,Tuktoyaktuk,CA,44.6,light rain,69.4541,-133.0374,End of The Road Ltd.
377,Wangaratta,AU,40.3,few clouds,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
389,Palana,RU,42.53,clear sky,59.1167,159.9667,Chikago
393,Maniitsoq,GL,40.84,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
399,Nome,US,37.47,clear sky,64.5011,-165.4064,Dredge 7 Inn
431,Leningradskiy,RU,33.66,overcast clouds,69.3833,178.4167,Gostinitsa
444,Te Anau,NZ,41.11,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
454,Tilichiki,RU,44.98,overcast clouds,60.4667,166.1,
499,Clyde River,CA,37.63,light rain,70.4692,-68.5914,Qamaq Hotel
510,Bilibino,RU,42.75,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
594,Traralgon,AU,40.71,broken clouds,-38.1833,146.5333,Comfort Inn Traralgon
